"alphat","ccz","nut","V","p_rgh","ccy","p","ccx","T","k","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.0016565,1.75,0.0011583,0.001,0.6385,9.3,-17.034,34.9,290.19,0.0017897,0.00024991,0.053688,0.00094067,0.028602,34.9,9.3,1.7
0.0016979,1.75,0.0011884,0.001,0.63839,9.3,-17.034,35,290.19,0.0016575,0.00020875,0.0559,0.0060087,0.029959,35,9.3,1.7
0.0015713,1.75,0.0011,0.001,0.63826,9.3,-17.035,35.1,290.19,0.0014191,0.00016537,0.053032,0.012057,0.035035,35.1,9.3,1.7
0.0013355,1.75,0.00093457,0.001,0.63835,9.3,-17.034,35.2,290.19,0.0011653,0.00013121,0.042935,0.016774,0.040725,35.2,9.3,1.7
0.00084131,1.75,0.00058841,0.001,0.63885,9.3,-17.034,35.3,290.19,0.00098428,0.00017225,0.025833,0.016756,0.04157,35.3,9.3,1.7
4.6858e-05,1.75,0.00033987,0.01,0.63922,9.3,-17.034,35.4,290.19,0.00092357,0.00022674,0,0,0,35.4,9.3,1.7
9.4074e-05,1.75,0.0006784,0.01,0.66484,9.4,-17.008,31.9,290.18,0.0036692,0.0017887,0,0,0,31.9,9.4,1.7
0.0021704,1.75,0.0015175,0.001,0.66532,9.4,-17.008,32,290.17,0.0050606,0.0016897,-0.0024858,0.028925,-0.074479,32,9.4,1.7
0.0038926,1.75,0.0027223,0.001,0.66565,9.4,-17.008,32.1,290.17,0.0070604,0.0016524,0.0059168,-0.0069733,-0.13294,32.1,9.4,1.7
0.0046506,1.75,0.0032537,0.001,0.66468,9.4,-17.008,32.2,290.18,0.0079136,0.001733,0.020853,-0.043045,-0.16196,32.2,9.4,1.7
0.0049153,1.75,0.0034391,0.001,0.66232,9.4,-17.009,32.3,290.22,0.0083132,0.0018089,0.036566,-0.066269,-0.16761,32.3,9.4,1.7
0.0045018,1.75,0.0031497,0.001,0.65858,9.4,-17.011,32.4,290.26,0.0084586,0.0020649,0.051276,-0.080709,-0.15526,32.4,9.4,1.7
0.002953,1.75,0.0020661,0.001,0.6537,9.4,-17.014,32.5,290.29,0.0083317,0.0036278,0.063192,-0.089681,-0.11962,32.5,9.4,1.7
0.00014313,1.75,0.0010543,0.01,0.64256,9.425,-17.024,32.625,290.31,0.0088216,0.0066441,0,0,0,32.6,9.4,1.7
0.00014237,1.75,0.0010482,0.01,0.63119,9.4,-17.035,32.7,290.32,0.0087241,0.0065367,0,0,0,32.7,9.4,1.7
0.00013753,1.75,0.0010103,0.01,0.63338,9.4,-17.032,32.8,290.33,0.0081086,0.0058594,0,0,0,32.8,9.4,1.7
0.00013309,1.75,0.00097581,0.01,0.63255,9.4,-17.033,32.9,290.33,0.0075637,0.0052774,0,0,0,32.9,9.4,1.7
0.00013053,1.75,0.00095596,0.01,0.63146,9.4,-17.034,33,290.33,0.0072585,0.0049604,0,0,0,33,9.4,1.7
0.00012951,1.75,0.0009481,0.01,0.63044,9.4,-17.035,33.1,290.32,0.0071389,0.0048379,0,0,0,33.1,9.4,1.7
0.00012943,1.75,0.0009475,0.01,0.62942,9.4,-17.037,33.2,290.32,0.0071297,0.0048284,0,0,0,33.2,9.4,1.7
0.00012971,1.75,0.00094966,0.01,0.62852,9.4,-17.038,33.3,290.32,0.0071625,0.0048619,0,0,0,33.3,9.4,1.7
0.00012989,1.75,0.00095085,0.01,0.62781,9.4,-17.039,33.4,290.31,0.0071826,0.0048831,0,0,0,33.4,9.4,1.7
0.00012958,1.75,0.00094825,0.01,0.62735,9.4,-17.039,33.5,290.3,0.0071457,0.0048463,0,0,0,33.5,9.4,1.7
0.00012849,1.75,0.00093983,0.01,0.62714,9.4,-17.04,33.6,290.3,0.0070196,0.0047188,0,0,0,33.6,9.4,1.7
0.00012643,1.75,0.00092407,0.01,0.6272,9.4,-17.04,33.7,290.29,0.0067857,0.0044851,0,0,0,33.7,9.4,1.7
0.00012331,1.75,0.00090017,0.01,0.6275,9.4,-17.04,33.8,290.29,0.0064398,0.0041473,0,0,0,33.8,9.4,1.7
0.00011918,1.75,0.00086832,0.01,0.62802,9.4,-17.04,33.9,290.28,0.0059952,0.0037268,0,0,0,33.9,9.4,1.7
0.0001141,1.75,0.00082939,0.01,0.62874,9.4,-17.04,34,290.27,0.0054733,0.0032528,0,0,0,34,9.4,1.7
0.00010817,1.75,0.00078452,0.01,0.62963,9.4,-17.039,34.1,290.27,0.0048984,0.0027552,0,0,0,34.1,9.4,1.7
0.00010153,1.75,0.00073463,0.01,0.63063,9.4,-17.038,34.2,290.26,0.0042959,0.0022637,0,0,0,34.2,9.4,1.7
9.428e-05,1.75,0.00068062,0.01,0.63171,9.4,-17.038,34.3,290.26,0.0036884,0.001802,0,0,0,34.3,9.4,1.7
8.6557e-05,1.75,0.00062336,0.01,0.63284,9.4,-17.037,34.4,290.25,0.0030964,0.0013873,0,0,0,34.4,9.4,1.7
7.8299e-05,1.75,0.00056283,0.01,0.63405,9.4,-17.036,34.5,290.24,0.0025273,0.0010244,0,0,0,34.5,9.4,1.7
6.8375e-05,1.75,0.0004912,0.01,0.63825,9.425,-17.035,34.575,290.18,0.0019324,0.00068874,0,0,0,34.6,9.4,1.7
0.0013951,1.75,0.00097472,0.001,0.64013,9.4,-17.034,34.7,290.16,0.0021072,0.00044577,0.013241,-0.002722,-0.001768,34.7,9.4,1.7
0.002408,1.75,0.0016841,0.001,0.64088,9.4,-17.034,34.8,290.14,0.0027689,0.00041373,0.021142,-0.0025632,-0.011252,34.8,9.4,1.7
0.0028771,1.75,0.0020141,0.001,0.64083,9.4,-17.035,34.9,290.14,0.0029509,0.00039025,0.030326,0.0013551,-0.01086,34.9,9.4,1.7
0.0028878,1.75,0.0020231,0.001,0.64027,9.4,-17.035,35,290.14,0.0027318,0.00033259,0.037917,0.0087288,-0.0021159,35,9.4,1.7
0.0025844,1.75,0.0018113,0.001,0.63956,9.4,-17.035,35.1,290.15,0.0022569,0.00025352,0.04069,0.018386,0.011982,35.1,9.4,1.7
