"cellID","alphat","ccz","nut","V","p_rgh","ccy","p","ccx","T","k","epsilon","U:0","U:1","U:2","Cell Type"
20180,0.0011457,1.75,0.00080158,0.001,0.66258,9.65,-17.013,31.95,290.13,0.0051081,0.0029297,-0.0042404,0.067674,-0.043036,12
20181,0.0036613,1.75,0.0025608,0.001,0.66477,9.65,-17.013,32.05,290.09,0.008147,0.0023328,-0.0029809,0.022857,-0.1345,12
20182,0.0045534,1.75,0.003186,0.001,0.66473,9.65,-17.013,32.15,290.1,0.0087162,0.0021461,0.0048499,-0.028842,-0.18074,12
20183,0.0050801,1.75,0.0035545,0.001,0.66298,9.65,-17.012,32.25,290.14,0.0090459,0.0020719,0.010678,-0.058342,-0.19253,12
20184,0.0051745,1.75,0.0036204,0.001,0.66027,9.65,-17.012,32.35,290.2,0.0093809,0.0021876,0.012338,-0.068817,-0.18138,12
20185,0.0040837,1.75,0.0028572,0.001,0.65768,9.65,-17.012,32.45,290.25,0.0091259,0.0026233,0.0096979,-0.064264,-0.15095,12
20186,0.0013812,1.75,0.00096688,0.001,0.65549,9.65,-17.012,32.55,290.3,0.0074129,0.005115,0.0035507,-0.035304,-0.075535,12
20187,0.00084773,1.75,0.00059334,0.001,0.64377,9.65,-17.035,34.65,290.07,0.002798,0.0011875,-0.0020025,-0.0060027,-0.053822,12
20188,0.0029348,1.75,0.002054,0.001,0.64396,9.65,-17.035,34.75,290.06,0.0037266,0.00060852,-0.0061388,-0.01118,-0.079032,12
20189,0.0039304,1.75,0.0027527,0.001,0.64402,9.65,-17.036,34.85,290.05,0.0042163,0.00058124,-0.0064,-0.010228,-0.084902,12
20190,0.0041607,1.75,0.002915,0.001,0.64383,9.65,-17.036,34.95,290.05,0.0043729,0.00059038,-0.002539,-0.0040078,-0.079803,12
20191,0.0040376,1.75,0.0028297,0.001,0.64293,9.65,-17.037,35.05,290.06,0.0042439,0.00057284,0.00662,0.010091,-0.060008,12
20192,0.0036039,1.75,0.0025277,0.001,0.64122,9.65,-17.037,35.15,290.08,0.0036026,0.00046211,0.015429,0.030865,-0.027851,12
20193,0.0025618,1.75,0.0017982,0.001,0.63956,9.65,-17.037,35.25,290.12,0.0025262,0.0003194,0.016011,0.050915,0.0052823,12
20194,0.00069648,1.75,0.00048772,0.001,0.63838,9.65,-17.037,35.35,290.15,0.0018858,0.00065623,0.0067691,0.057648,0.026588,12
20195,0.0012101,1.75,0.00084677,0.001,0.66094,9.75,-17.016,31.95,290.1,0.0056984,0.0034513,-0.0047347,0.078654,-0.043882,12
20196,0.0036295,1.75,0.0025387,0.001,0.66357,9.75,-17.016,32.05,290.06,0.0085276,0.002578,-0.0037668,0.030531,-0.14079,12
20197,0.004498,1.75,0.0031472,0.001,0.66369,9.75,-17.015,32.15,290.07,0.0089929,0.0023127,0.0028447,-0.023225,-0.18868,12
20198,0.0050918,1.75,0.0035626,0.001,0.66214,9.75,-17.014,32.25,290.11,0.0094368,0.0022497,0.0069691,-0.051947,-0.20034,12
20199,0.0052715,1.75,0.0036883,0.001,0.6598,9.75,-17.014,32.35,290.17,0.0099532,0.0024174,0.0068498,-0.060063,-0.18866,12
20200,0.0041963,1.75,0.0029361,0.001,0.65755,9.75,-17.013,32.45,290.23,0.0097634,0.0029219,0.003203,-0.053066,-0.15755,12
20201,0.0014043,1.75,0.00098305,0.001,0.65546,9.75,-17.013,32.55,290.28,0.007661,0.0053733,-0.00069153,-0.021891,-0.07882,12
20202,0.00091526,1.75,0.0006406,0.001,0.64384,9.75,-17.035,34.65,290.07,0.0032618,0.0014948,-0.0025459,-0.0020271,-0.061125,12
20203,0.0030718,1.75,0.0021501,0.001,0.64412,9.75,-17.036,34.75,290.05,0.0041756,0.00072983,-0.0095749,-0.0081156,-0.092765,12
20204,0.003998,1.75,0.0028003,0.001,0.6443,9.75,-17.036,34.85,290.04,0.0045771,0.00067333,-0.012931,-0.0086297,-0.10241,12
20205,0.0041346,1.75,0.0028967,0.001,0.64432,9.75,-17.037,34.95,290.03,0.0046595,0.00067458,-0.011664,-0.0038918,-0.10046,12
20206,0.0040079,1.75,0.0028081,0.001,0.64368,9.75,-17.037,35.05,290.03,0.0046106,0.0006813,-0.0043064,0.0092932,-0.083015,12
20207,0.0036524,1.75,0.0025609,0.001,0.64196,9.75,-17.038,35.15,290.05,0.0041548,0.00060667,0.0068281,0.032201,-0.047336,12
20208,0.0026701,1.75,0.0018749,0.001,0.63972,9.75,-17.038,35.25,290.09,0.0029688,0.00042309,0.01203,0.056197,-0.006363,12
20209,0.00075148,1.75,0.00052634,0.001,0.63791,9.75,-17.038,35.35,290.13,0.0021951,0.00082395,0.0051765,0.064123,0.022577,12
20210,0.0012704,1.75,0.00088901,0.001,0.65876,9.85,-17.02,31.95,290.08,0.0062797,0.0039922,-0.0048347,0.090073,-0.043568,12
20211,0.0035601,1.75,0.0024902,0.001,0.66187,9.85,-17.019,32.05,290.02,0.0087891,0.0027918,-0.0031765,0.039269,-0.14517,12
20212,0.0044031,1.75,0.0030808,0.001,0.66224,9.85,-17.019,32.15,290.03,0.0092087,0.0024772,0.0029246,-0.016247,-0.19454,12
20213,0.0050637,1.75,0.003543,0.001,0.6611,9.85,-17.017,32.25,290.08,0.0097997,0.0024395,0.0063062,-0.044459,-0.2072,12
20214,0.005347,1.75,0.0037411,0.001,0.65933,9.85,-17.016,32.35,290.14,0.010537,0.0026713,0.0052091,-0.051244,-0.19675,12
